,City,Place,Num_of_Rating,PlaceID,CityID
0,New Delhi,Chhatarpur Temple,540,493,22
1,New Delhi,DLF Promenade Mall,483,589,22
2,New Delhi,Plaza Premium Lounge,355,2031,22
3,New Delhi,Adventure Island,460,32,22
4,New Delhi,3Cs Mall,11,1,22
5,New Delhi,Academy of Fine Arts & Literature,2,18,22
6,New Delhi,Abdul Nabi Mosque,3,15,22
7,New Delhi,Agrasen Ki Baoli - Leamigo,355,41,22
8,New Delhi,AeroCity Central,5,33,22
9,New Delhi,Ajmeri Gate,32,54,22
10,New Delhi,Ahinsa Sthal,19,46,22
11,New Delhi,Alai Minar,71,67,22
12,New Delhi,Ajmal Khan Road,2,52,22
13,New Delhi,Aifacs Gallery,1,49,22
14,New Delhi,Akdhardham Temple,3,60,22
15,New Delhi,Alai Darwaza,1,66,22
16,New Delhi,Ansal Plaza,52,122,22
17,New Delhi,Ambedkar Stadium,9,92,22
18,New Delhi,Antah Rang A Reflection Of Art,3,123,22
19,New Delhi,Antique Landscape India,1,126,22
20,New Delhi,Art Explore,1,153,22
21,New Delhi,Art Mall,6,156,22
22,New Delhi,Art Indus,1,155,22
23,New Delhi,Archeological Museum,6,142,22
24,New Delhi,Art Heritage,2,154,22
25,New Delhi,Art Spice,7,158,22
26,New Delhi,Art Today,1,159,22
27,New Delhi,Arts of the Earth,1,166,22
28,New Delhi,Art of Living Center,9,161,22
29,New Delhi,Aryan Art Gallery,1,173,22
30,New Delhi,Ashokan Rock Edict,3,179,22
31,New Delhi,Atlantic water world,38,195,22
32,New Delhi,Ashokan Pillar,9,178,22
33,New Delhi,Asola Bhatti Wildlife Sanctuary,17,188,22
34,New Delhi,Astha Kunj Park,2,190,22
35,New Delhi,Aurobindo Gallery,4,201,22
36,New Delhi,Ayyappa Temple,6,212,22
37,New Delhi,Baba Baghel Singh Sikh Heritage Multimedia Museum,3,224,22
38,New Delhi,Azad Hind Gram,3,213,22
39,New Delhi,Banke Bihari Temple,4,279,22
40,New Delhi,Bhaironath Temple,26,318,22
41,New Delhi,Bade Mandir,7,239,22
42,New Delhi,Baba Neem Karoli Hanuman Mandir,1,227,22
43,New Delhi,Bawana Industrial Area,3,294,22
44,New Delhi,Banaras Cottage Emporium,3,262,22
45,New Delhi,Begumpuri Masjid,5,304,22
46,New Delhi,Begum Samru's Palace,3,302,22
47,New Delhi,Bhalswa Horseshoe Lake,3,320,22
48,New Delhi,Bhagavan Sri Ram Mandir,2,315,22
49,New Delhi,Bhardwaj Lake,1,332,22
50,New Delhi,Bhool Bhulaiya,6,347,22
51,New Delhi,Bhuli Bhatiyari Ka Mahal,4,350,22
52,New Delhi,Biran Ka Gumbad,1,362,22
53,New Delhi,Bikaner House,1,356,22
54,New Delhi,Birla Mandir Temple (Lakshmi Narayan),918,366,22
55,New Delhi,Bindra Park,1,357,22
56,New Delhi,Buddha Jayanti Park,36,404,22
57,New Delhi,Bu Halima's Tomb,1,402,22
58,New Delhi,British Council Division,10,399,22
59,New Delhi,Canopy,28,427,22
60,New Delhi,Catedral Del Sagrado Corazon Nueva Delhi,3,438,22
61,New Delhi,Castle And king,11,437,22
62,New Delhi,Cathedral Church of the Redemption,26,439,22
63,New Delhi,Central Park at Connaught Place,114,445,22
64,New Delhi,Central Mall,3,443,22
65,New Delhi,Chandni Chowk,3646,462,22
66,New Delhi,Charity Birds Hospital,32,471,22
67,New Delhi,Char Bagh Garden,9,469,22
68,New Delhi,Chauburji-Masjid,3,479,22
69,New Delhi,Chhatta Chowk Bazaar,21,497,22
70,New Delhi,Chausath Khamba,6,483,22
71,New Delhi,Children's Park,330,499,22
72,New Delhi,Chawla Art Gallery,1,486,22
73,New Delhi,Chawri  Bazaar,3,487,22
74,New Delhi,Chittaranjan Park Kali Mandir,32,513,22
75,New Delhi,City Square Mall,11,552,22
76,New Delhi,Chilla Nizamuddin Auliya,6,501,22
77,New Delhi,Chor Minar,15,521,22
78,New Delhi,Connaught Place,2988,563,22
79,New Delhi,College of Art,1,559,22
80,New Delhi,Crafts Museum,229,571,22
81,New Delhi,Cosmo Arts (India),2,568,22
82,New Delhi,Coronation park,4,567,22
83,New Delhi,Coronation Durbar Park,10,566,22
84,New Delhi,D Mall,19,585,22
85,New Delhi,Creativity,2,574,22
86,New Delhi,Crescent Mall,6,575,22
87,New Delhi,Cross River Mall,10,577,22
88,New Delhi,DDA Siri Fort Sports Complex,26,588,22
89,New Delhi,Darya Khan Tomb,6,617,22
90,New Delhi,Dargah Hazrat Mai Sahiba,1,610,22
91,New Delhi,Dada Dev Mandir,2,592,22
92,New Delhi,Death Valley,14,627,22
93,New Delhi,Deer Park,89,629,22
94,New Delhi,Delhi Airport Metro Express,2344,633,22
95,New Delhi,Delhi Haat Janakpuri,66,636,22
96,New Delhi,Delhi Art Gallery,10,634,22
97,New Delhi,Delhi Haat,220,635,22
98,New Delhi,Delhi Junction Railway Station,42,637,22
99,New Delhi,Delhi Metro Museum,57,639,22
100,New Delhi,Delhi Metro,1180,638,22
101,New Delhi,Delhi Rides,18,640,22
102,New Delhi,Digambar Jain Temple,15,674,22
103,New Delhi,Desh Bandhu Gupta Statue,1,650,22
104,New Delhi,Delhi,2,632,22
105,New Delhi,Delhi University Sports Complex,14,641,22
106,New Delhi,Dilli Haat,918,678,22
107,New Delhi,Delhi War Cemetery,5,642,22
108,New Delhi,Dhoomimal Art Gallery,3,670,22
109,New Delhi,Diwan-i-Am,15,690,22
110,New Delhi,Diwan-i-Khas,19,692,22
111,New Delhi,Disfrutando India,5,682,22
112,New Delhi,Dr. A. P. J. Abdul Kalam Memorial,5,708,22
113,New Delhi,Dwarka City Centre,14,726,22
114,New Delhi,Dlf Courtyard Mall,3,694,22
115,New Delhi,Dr. S P Mukherjee Swimming Pool,2,710,22
116,New Delhi,Dwarka Baoli (Loharehri Baoli ),5,725,22
117,New Delhi,Eros Metro Mall,11,764,22
118,New Delhi,Fatehpuri Mosque,21,778,22
119,New Delhi,Feroz Shah Kotla Fort,53,779,22
120,New Delhi,Faculty of Management Studies,8,771,22
121,New Delhi,Feroz Shah Kotla Stadium,93,780,22
122,New Delhi,Election museum,2,744,22
123,New Delhi,Firoz Shah Tughlaq Tomb,16,787,22
124,New Delhi,Friday Mosque (Jama Masjid),1525,811,22
125,New Delhi,Foot--Loose Excursions,1,797,22
126,New Delhi,Flagstaff Tower,5,789,22
127,New Delhi,French Cultural Centre,3,808,22
128,New Delhi,Fun 'n' Food Village,68,813,22
129,New Delhi,Fun City Mall,5,814,22
130,New Delhi,Gali Paranthe Wali,270,827,22
131,New Delhi,Gandhi Smriti,1409,843,22
132,New Delhi,Gallerie Ganesha,1,828,22
133,New Delhi,Gallery Espace,1,831,22
134,New Delhi,Garden of Five Senses,261,855,22
135,New Delhi,Gaurav,1,865,22
136,New Delhi,Garhi Lalit Kala Artist Studio,3,858,22
137,New Delhi,Greater Kailash M Block,175,917,22
138,New Delhi,Gole Market,11,901,22
139,New Delhi,Gauri Shankar Temple,9,866,22
140,New Delhi,Ghalib Academy,5,874,22
141,New Delhi,Gurdwara Nank Piao,25,932,22
142,New Delhi,Gurudwara Bangla Sahib,5584,943,22
143,New Delhi,Gurdwara Damdama Sahib,11,931,22
144,New Delhi,Guru Tegh Bahadur Memorial Delhi,9,939,22
145,New Delhi,Gurudwara Majnu ka Tilla,11,951,22
146,New Delhi,Gurudwara Rakab Ganj,55,956,22
147,New Delhi,Gurudwara Moti Bagh Sahib,4,953,22
148,New Delhi,Gurudwara Nanak Piao Sahib,2,954,22
149,New Delhi,Gurudwara Sis Ganj Sahib,706,965,22
150,New Delhi,Gurudwara Singh Sabha Rajouri Garden,3,964,22
151,New Delhi,Gyarah Murti,55,971,22
152,New Delhi,Gurukirpa Shawls,3,966,22
153,New Delhi,Habitat World Convention Centre,510,977,22
154,New Delhi,Hanuman Temple / Statue,177,992,22
155,New Delhi,Hanuman Temple,66,991,22
156,New Delhi,Hauz Khas District Park,34,1011,22
157,New Delhi,Hauz Khas Village,1440,1012,22
158,New Delhi,Hauz i Shamsi,6,1013,22
159,New Delhi,Hauz Khas Complex,3,1010,22
160,New Delhi,Hashtsal Minar,1,1005,22
161,New Delhi,Hazrat Nizamuddin Darga,330,1021,22
162,New Delhi,Hayat Bakhsh Bagh,10,1015,22
163,New Delhi,Hazrat KhwajNasiruddin Mehmood Chirag Dilli Dargah,1,1020,22
164,New Delhi,Humayun's Tomb,7970,1060,22
165,New Delhi,Hijron Ka Khanqah,1,1039,22
166,New Delhi,Iltutmish's Tomb,22,1083,22
167,New Delhi,India Gate,8330,1088,22
168,New Delhi,Idgah,2,1081,22
169,New Delhi,India International Centre,77,1089,22
170,New Delhi,Indian Air Force Museum,91,1091,22
171,New Delhi,Indira Gandhi Memorial Museum,428,1104,22
172,New Delhi,Indian Institute of Foreign Trade,6,1094,22
173,New Delhi,Indian Institute of Mass Communication,3,1095,22
174,New Delhi,Indian Institute of Technology Delhi,13,1096,22
175,New Delhi,Indian War Memorial Museum,9,1100,22
176,New Delhi,Indipix Gallery,3,1102,22
177,New Delhi,Indian Agricultural Statistics Research Institute,1,1090,22
178,New Delhi,Iron Pillar of Delhi,43,1120,22
179,New Delhi,Isa Khan's Tomb,95,1121,22
180,New Delhi,Indira Gandhi Sports Complex,13,1107,22
181,New Delhi,Isa khan's Mosque,7,1122,22
182,New Delhi,ISKCON Temple Delhi,2023,1077,22
183,New Delhi,Jagannath Temple,13,1129,22
184,New Delhi,Jahaz Mahal,11,1137,22
185,New Delhi,Jamali Kamali Tomb and Mosque,44,1170,22
186,New Delhi,Jahanpanah City Forest,16,1136,22
187,New Delhi,"ISKCON Temple, Dwarka, New Delhi",3,1078,22
188,New Delhi,Iskon Temple,9,1124,22
189,New Delhi,Jahanara Begum's Tomb,7,1134,22
190,New Delhi,Jain Mandir Dadabari,3,1143,22
191,New Delhi,Jain Svetambar Temple,8,1146,22
192,New Delhi,Jantar Mantar,628,1181,22
193,New Delhi,Jawaharlal Nehru Stadium,57,1192,22
194,New Delhi,Jhandewalan Temple,103,1206,22
195,New Delhi,Just Chill Water Park,40,1229,22
196,New Delhi,Judah Hyam Synagogue,2,1222,22
197,New Delhi,Jwalaheri Market,15,1232,22
198,New Delhi,Kalka Mandir,16,1268,22
199,New Delhi,Juneja Studio,3,1226,22
200,New Delhi,Karol Bagh,169,1304,22
201,New Delhi,Kabuli Khuni Darwaza,6,1240,22
202,New Delhi,Kamala The Craft Outlet,9,1272,22
203,New Delhi,Kamla Nehru Ridge,1,1277,22
204,New Delhi,Khairul Manzil Masjid,12,1336,22
205,New Delhi,Khan-i-Khanan Tomb,18,1339,22
206,New Delhi,Kashmere Gate Monument,17,1310,22
207,New Delhi,Khirki Masjid,23,1345,22
208,New Delhi,Kashmiri Gate,1,1312,22
209,New Delhi,Khas Mahal,9,1342,22
210,New Delhi,Kiran Nadar Museum of Art,18,1357,22
211,New Delhi,Kings Mall,4,1356,22
212,New Delhi,Lahori Gate,28,1420,22
213,New Delhi,Kucha Katras,1,1387,22
214,New Delhi,Krishnas Collection Art Gallery,1,1382,22
215,New Delhi,Kumar Gallery,3,1393,22
216,New Delhi,Kushk Mahal,3,1405,22
217,New Delhi,Ladakh Buddhist Vihara,4,1416,22
218,New Delhi,Lal Gumbad,5,1440,22
219,New Delhi,Laxminarayan Temple,1,1458,22
220,New Delhi,Lodhi Garden,3457,1481,22
221,New Delhi,Lenin’s Statue,3,1465,22
222,New Delhi,Little Theatre Group Auditorium,8,1474,22
223,New Delhi,Lodhi Art District,5,1480,22
224,New Delhi,Living Style Mall,7,1476,22
225,New Delhi,Lotus Temple,5387,1493,22
226,New Delhi,Lodi Era Tomb,1,1482,22
227,New Delhi,Madame Tussauds Delhi,192,1519,22
228,New Delhi,Majnu ka Tilla,136,1572,22
229,New Delhi,Madhi Masjd,4,1524,22
230,New Delhi,Maharaja Arts & Interiors,3,1545,22
231,New Delhi,Maharani Shopping Mall,3,1554,22
232,New Delhi,"Malai Mandir, New Delhi",148,1577,22
233,New Delhi,Major Dhyan Chand National Stadium,31,1573,22
234,New Delhi,"Manekshaw Centre, Delhi Cantt.",4,1607,22
235,New Delhi,Mangal Mahadev Birla Kanan,12,1608,22
236,New Delhi,Malliah Memorial Theater Craft Museum,3,1584,22
237,New Delhi,Malik Antique Phone,1,1580,22
238,New Delhi,Mehrauli Archaeological Park,248,1666,22
239,New Delhi,Marigold Art Gallery,3,1634,22
240,New Delhi,Metro Walk Mall,108,1680,22
241,New Delhi,Malcha Mahal,10,1578,22
242,New Delhi,Metropolitan Mall,18,1682,22
243,New Delhi,Millennium Park,16,1689,22
244,New Delhi,Mirza Ghalib Ki Haveli,27,1697,22
245,New Delhi,Miranika,1,1696,22
246,New Delhi,Moments Mall,44,1704,22
247,New Delhi,Modart Studio Art Gallery,1,1700,22
248,New Delhi,Moth Ki Masjid,13,1716,22
249,New Delhi,Mughal Garden,610,1734,22
250,New Delhi,Monument to Leo Tolstoy,1,1713,22
251,New Delhi,MP Mall,3,1511,22
252,New Delhi,Mumtaz Mahal (Jewel Palace),21,1755,22
253,New Delhi,Mutiny Memorial,16,1765,22
254,New Delhi,Naini Lake,16,1780,22
255,New Delhi,Muhammad Quli Khan Tomb,10,1738,22
256,New Delhi,Munda Gumbad,2,1756,22
257,New Delhi,Naqqar Khana,14,1797,22
258,New Delhi,Najaf Khan Tomb,8,1784,22
259,New Delhi,National Agricultural Science Museum,4,1805,22
260,New Delhi,National Bal Bhavan,3,1806,22
261,New Delhi,National Gallery of Modern Art,370,1812,22
262,New Delhi,National Children's Museum,8,1810,22
263,New Delhi,National Gandhi Museum,446,1813,22
264,New Delhi,National Museum,573,1819,22
265,New Delhi,National Handicraft & Design Gallery,5,1814,22
266,New Delhi,National Indo-Africa Friendship Rose Garden,2,1816,22
267,New Delhi,National Law University,7,1817,22
