,City,Place,PlaceID,CityID,ImageUrl
0,New Delhi,Qutub Minar,146,22,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b7/1f/31/qutab-minar.jpg?w=1200&h=1200&s=1
1,New Delhi,Swaminarayan Akshardham,183,22,https://www.makemytrip.com/travel-guide/media/dg_image/delhi/Swaminarayan-Akshardham-Temple-Delhi.jpg
2,New Delhi,India Gate,76,22,https://img.staticmb.com/mbcontent//images/uploads/2022/9/India%20Gate%20delhi.jpg
3,New Delhi,Humayun's Tomb,74,22,https://cdn.britannica.com/54/156454-050-4E72CEE0/Humayuns-Tomb-Hamidah-Banu-Begam-Delhi-India-1569.jpg
4,New Delhi,Gurudwara Bangla Sahib,67,22,"https://navbharattimes.indiatimes.com/travel/destinations/interesting-facts-about-bangla-sahib-gurudwara-delhi/photo/msid-93386892,imgsize-72802/interesting-facts-about-bangla-sahib-gurudwara-delhi-93386892.jpg"
5,New Delhi,Lotus Temple,106,22,https://upload.wikimedia.org/wikipedia/commons/f/fc/LotusDelhi.jpg
6,New Delhi,Red Fort (Lal Quila),152,22,https://cdn.britannica.com/84/124684-004-07547A0D/Red-Fort-Old-Delhi-India.jpg
7,Agra,Taj Mahal,184,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
8,Agra,Agra Fort,2,0,https://assets.traveltriangle.com/blog/wp-content/uploads/2019/08/%E0%A4%86%E0%A4%97%E0%A4%B0%E0%A4%BE-%E0%A4%95%E0%A4%BE-%E0%A4%95%E0%A4%BF%E0%A4%B2%E0%A4%BE.jpg
9,Agra,Tomb of Itimad-ud-Daulah,193,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
10,Agra,Wildlife SOS,204,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
11,Agra,Mehtab Bagh,116,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
12,Agra,Jama Masjid,85,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
13,Agra,Sheesh Mahal,167,0,https://images.pexels.com/photos/602607/pexels-photo-602607.png?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
14,Jaipur,Hawa Mahal - Palace of Wind,69,9,https://www.holidify.com/images/cmsuploads/compressed/h4_20170822181427.PNG
15,Jaipur,Jantar Mantar - Jaipur,86,9,https://www.tourmyindia.com/heritage/images/jantar-mantar-jaipur.jpg
16,Jaipur,City Palace of Jaipur,34,9,https://images.pexels.com/photos/3974150/pexels-photo-3974150.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
17,Jaipur,Jal Mahal,83,9,https://www.nobroker.in/blog/wp-content/uploads/2020/05/shutterstock_334776524.jpg
18,Jaipur,Birla Mandir Temple,23,9,https://upload.wikimedia.org/wikipedia/commons/d/d6/Birla_Mandir_Jaipur_%282022-07%29.jpg
19,Jaipur,Nahargarh Fort,125,9,https://jaipurtourism.co.in/images/places-to-visit/header/nahargarh-fort-jaipur-entry-fee-timings-holidays-reviews-header.jpg
20,Jaipur,Jaigarh Fort,80,9,https://upload.wikimedia.org/wikipedia/commons/3/32/Rajasthan-Jaipur-Jaigarh-Fort-perimeter-walls-Apr-2004-01.JPG
21,Udaipur,City Palace of Udaipur,35,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
22,Udaipur,Lake Pichola,102,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
23,Udaipur,Bagore Ki Haveli Museum,13,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
24,Udaipur,Monsoon Palace,121,28,https://images.pexels.com/photos/925069/pexels-photo-925069.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
